weapon_name,upgrade_name,hint,cost,weaponVO,weaponVOresp,ammo_cost,create_vox,is_zcleansed,in_box,upgrade_in_box,is_limited,limit,upgrade_limit,content_restrict,wallbuy_autospawn,class,is_aat_exempt,is_wonder_weapon,force_attachments
		
bouncingbetty,,,1000,betty,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,

frag_grenade,,,250,grenade,,250,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
	
bowie_knife,,,3000,wpck_bowie,,,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,

ar_longburst,ar_longburst_upgraded,,1500,rifle,,,,,false,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_marksman,ar_marksman_upgraded,,500,rifle,,,,,false,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
pistol_burst,pistol_burst_upgraded,,500,pistol,,,,,FALSE,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
pistol_fullauto,pistol_fullauto_upgraded,,750,pistol,,,,,false,FALSE,FALSE,,,FALSE,TRUE,pistol,,,
shotgun_pump,shotgun_pump_upgraded,,750,shotgun,,,,,false,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
smg_standard,smg_standard_upgraded,,1250,smg,,,,,false,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_versatile,smg_versatile_upgraded,,1300,smg,,,,,false,FALSE,FALSE,,,FALSE,TRUE,smg,,,

t6_tazer_knuckles,t6_tazer_knuckles,,6000,wpck_bowie,,,,,FALSE,FALSE,FALSE,,,FALSE,true,special,TRUE,,

ray_gun,ray_gun_upgraded,,10000,raygun,,,,,TRUE,FALSE,TRUE,1,,FALSE,TRUE,special,TRUE,TRUE,
cymbal_monkey,,,2000,monkey,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,grenade,,,
knife,,,0,,,0,,,FALSE,FALSE,,,,FALSE,FALSE,special,,,
		
ar_accurate,ar_accurate_upgraded,,1500,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_cqb,ar_cqb_upgraded,,1600,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_damage,ar_damage_upgraded,,5000,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
ar_famas,ar_famas_upgraded,,5000,rifle,,,,,false,FALSE,FALSE,,,FALSE,TRUE,rifle,,,reddot grip		

pistol_standard,pistol_standard_upgraded,,50,pistol,,0,,,FALSE,FALSE,TRUE,0,,FALSE,FALSE,pistol,TRUE,,
		
ar_standard,ar_standard_upgraded,,1400,rifle,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,rifle,,,
lmg_cqb,lmg_cqb_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
lmg_heavy,lmg_heavy_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
lmg_light,lmg_light_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,
lmg_slowfire,lmg_slowfire_upgraded,,5000,lmg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,lmg,,,

shotgun_fullauto,shotgun_fullauto_upgraded,,5000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_precision,shotgun_precision_upgraded,,1100,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,
shotgun_semiauto,shotgun_semiauto_upgraded,,5000,shotgun,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,shotgun,,,

launcher_standard,launcher_standard_upgraded,,10000,launcher,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,special,TRUE,,
smg_burst,smg_burst_upgraded,,700,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_capacity,smg_capacity_upgraded,,5000,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,
smg_fastfire,smg_fastfire_upgraded,,1250,smg,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,smg,,,

sniper_fastsemi,sniper_fastsemi_upgraded,,5000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
sniper_powerbolt,sniper_powerbolt_upgraded,,5000,sniper,,,,,TRUE,FALSE,FALSE,,,FALSE,TRUE,sniper,,,
hero_annihilator,,,10000,staff,,,,,TRUE,FALSE,TRUE,,,FALSE,FALSE,special,TRUE,TRUE,

raygun_mark2,raygun_mark2_upgraded,,10000,ray2,,0,,,TRUE,FALSE,TRUE,1,,FALSE,FALSE,special,TRUE,TRUE,
