index,type,name,resident,streamed,parentStack
1,string,,168972,0,||assetlist
2,xmodelmesh,p7_zm_der_pswitch_body_lod0324925aa,2336,0,|p7_zm_der_pswitch_body|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
3,xmodelmesh,p7_zm_der_zombie_teleporter_mf_bolted_floor_lod076e81bd7,928,0,|p7_zm_der_teleporter_mf_bolted_floor|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
4,xmodelmesh,p7_farm_tools_pliers_02_lod39af39e5d,1696,0,|p7_farm_tools_pliers_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
5,xmodelmesh,p7_toolbox_static_lod23bc0793e,1184,0,|p7_toolbox_static|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
6,xmodelmesh,p7_cai_work_table_wood_02_bare_lod565294569,1312,0,|p7_cai_work_table_wood_02_bare|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
7,xmodelmesh,p7_debris_cardboard_flat_03b_lod083987488,1264,0,|p7_debris_cardboard_flat_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
8,xmodelmesh,p7_debris_cardboard_flat_01b_lod0359bc7ed,1120,0,|p7_debris_cardboard_flat_01b_wet|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
9,xmodelmesh,p7_farm_tools_hammer_lod3cc796438,1344,0,|p7_farm_tools_hammer|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
10,xmodelmesh,p7_debris_wood_plywood_2x8_bowed_lod0341eff9,1584,0,|p7_debris_wood_plywood_2x8_bowed_white|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
11,xmodelmesh,p7_zm_der_poster_anatomy_04_lod02f9b56c,1088,0,|p7_zm_der2_poster_anatomy_04|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
12,xmodelmesh,p7_wood_plank_rustic01_2x16x48_lod054abbaf2,1264,0,|p7_wood_plank_rustic01_2x16x48_burnt|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
13,xmodelmesh,p7_foliage_grass_tussock_green_1_lod0c5aa08da,2368,0,|p7_3arc_park_grass_tall|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
14,xmodelmesh,day_rubble_dirt_pile_01_lod02cfe3f67,880,0,|day_rubble_dirt_pile_01_nuked_1|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
15,xmodelmesh,p7_fxanim_zm_castle_weather_vane_base_mod_lod0b920c4dc,368,5888,|p7_fxanim_zm_castle_weather_vane_base_mod|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
16,xmodelmesh,p7_cai_street_sidewalk_old_04_paver_lod0d0b572d7,1408,0,|p7_cai_street_sidewalk_old_04_paver|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
17,xmodelmesh,day_rubble_dirt_pile_01_lod032cbf276,848,0,|day_rubble_dirt_pile_05_nuked|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
18,xmodelmesh,p7_cai_street_sidewalk_old_04_paver_broken_01_lod0c40c3555,1328,0,|p7_cai_street_sidewalk_old_04_paver_broken_01|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
19,xmodelmesh,p7_cai_street_sidewalk_old_04_paver_broken_02_lod0dad1588d,1344,0,|p7_cai_street_sidewalk_old_04_paver_broken_02|xmodel|maps/zm/zm_nuked.d3dbsp|gfx_map|zone_source/zm_nuked.zone|csv
